"plant.id","avg.leaf.area","avg.canopy.cover","plot","height","aspect","slope","perc.conif","perc.decid","plot_id","aspect_180","SRI","sky.cover","SRI.mediated","SRI.normalized","SRI.mediated.normalized","outlier_points"
"1-1",35.9166666666667,54.94775,"1",116,255,6,100,0,"plot1",-75,0.729129573433709,45.05225,32.8489278247288,0.884048718181905,0.939367312366593,FALSE
"1-2",46.96,51.41975,"1",125,69,6,NA,NA,"plot1",111,0.392225273392244,48.58025,19.0544018377136,0.710594801702673,0.758678532955204,FALSE
"1-3",44.7233333333333,47.72125,"1",115,204,6,88,12,"plot1",-24,0.6114333339103,52.27875,31.9649704051631,0.823453250276923,0.927788720442281,FALSE
"1-4",42.8133333333333,54.59375,"1",90,85,15,75,25,"plot1",95,-0.806345529644116,45.40625,-36.6131267054032,0.0935151148636299,0.0295126453580169,FALSE
"1-5",63.94,51.25325,"1",86,108,2,95,5,"plot1",72,0.523047540356993,48.74675,25.4968676878972,0.777948155651953,0.843065723349784,FALSE
"11-1",37.81,53.491,"11",110,122,10,100,0,"plot2",58,-0.391749103306811,46.509,-18.2198590456965,0.306968531450026,0.270438436207789,FALSE
"11-2",48.3866666666667,49.263,"11",110,8,17,100,0,"plot2",172,-0.720701073613505,50.737,-36.5662103719284,0.137608842136967,0.0301271829679347,FALSE
"11-3",42.55,58.8975,"11",80,0,8,100,0,"plot2",180,0.423789298686046,41.1025,17.4187996492432,0.726845421853219,0.737254457686833,FALSE
"11-4",52.2866666666667,52.4755,"11",120,83,8,100,0,"plot2",97,0.697405611396072,47.5245,33.1438529787927,0.867715755198086,0.943230414741816,FALSE
"12-1",52.33,83.273525,"12",95,64,10,50,50,"plot3",116,-0.894098398746075,16.726475,-14.9551145141662,0.0483358790208381,0.313201971906477,TRUE
"12-2",25.09,86.9155,"12",125,20,7,100,0,"plot3",160,0.943923215723457,13.0845,12.3507633161336,0.994634420072354,0.670870349968733,TRUE
"12-3",74.5333333333333,68.5075,"12",120,89,7,100,0,"plot3",91,0.954344928801677,31.4925,30.0547076702868,1,0.902766980496685,FALSE
"12-4",55.24,54.65325,"12",90,147,8,100,0,"plot3",33,-0.0663296029854592,45.34675,-3.00783192418087,0.474509541827471,0.46969447556332,FALSE
"12-5",53.3366666666667,62.02575,"12",90,15,10,100,0,"plot3",165,-0.47718798736614,37.97425,-18.1208559292386,0.262980642135815,0.271735237003085,FALSE
"14-1",55.9733333333333,63.11725,"14",70,64,9,100,0,"plot4",116,-0.146023046667861,36.88275,-5.38573152448906,0.433479670962871,0.438547354107537,FALSE
"14-2",39.4733333333333,59.88825,"14",60,230,5,100,0,"plot4",-50,0.934336623274147,40.11175,37.4778770486168,0.989698798871264,1,FALSE
"14-3",65.0366666666667,80.2105,"14",90,70,12,100,0,"plot4",110,-0.00461193839952728,19.7895,-0.0912679549574452,0.506284650180388,0.50789733836341,FALSE
"26-1",38.14,68.08725,"26",90,320,14,100,0,"plot5",-140,0.238672539251803,31.91275,7.61669707700797,0.631538751900175,0.608860778113531,FALSE
"26-2",61.1633333333333,71.19625,"26",90,201,12,100,0,"plot5",-21,0.200382409811489,28.80375,5.77176483660767,0.611825222232843,0.584694775241926,FALSE
"26-3",57.75,75.5045,"26",110,261,12,100,0,"plot5",-81,0.801983830192075,24.4955,19.64499491247,0.921557459285437,0.766414466897914,FALSE
"26-4",39.28,68.13875,"26",90,178,15,100,0,"plot5",2,-0.17528998488351,31.86125,-5.58495803086973,0.418411697487213,0.435937768660512,FALSE
"26-5",58.3733333333333,66.56075,"26",120,126,9,100,0,"plot5",54,-0.1956627390795,33.43925,-6.54281524776416,0.407922861327128,0.423391193915287,FALSE
"3-1",48.9233333333333,76.47525,"3",100,120,7,100,0,"plot6",60,0.931010842895742,23.52475,21.9017973264116,0.987986533305306,0.795975386492515,FALSE
"3-2",53.29,69.88575,"3",105,140,9,100,0,"plot6",40,-0.2523112576015,30.11425,-7.59816428922597,0.378757583830883,0.409567614160954,FALSE
"3-3",36.29,65.8865,"3",100,314,2,100,0,"plot6",-134,0.135527787637258,34.1135,4.6233271835636,0.578435063019925,0.569651866340674,FALSE
"3-4",38.9633333333333,50.9905,"3",90,309,5,100,0,"plot6",-129,-0.645452248260422,49.0095,-31.6332919611192,0.176350417908922,0.0947414370150905,FALSE
"3-5",42.6533333333333,49.14375,"3",90,343,4,100,0,"plot6",-163,0.251034503476905,50.85625,12.7666734674474,0.637903262860577,0.676318184686391,FALSE
"33-1",55.5466666666667,65.32725,"33",110,296,24,100,0,"plot7",-116,-0.519055107500914,34.67275,-17.9970679786023,0.241425512212601,0.273356684070376,FALSE
"33-2",54.6066666666667,67.575,"33",110,295,7,100,0,"plot7",-115,0.58250903474225,32.425,18.8878554515175,0.808561683231035,0.756497010859738,FALSE
"33-3",48.7666666666667,60.661,"33",80,290,4,100,0,"plot7",-110,-0.987982502483532,39.339,-38.8662436651997,0,0,FALSE
"33-4",49.4366666666667,62.02275,"33",115,41,8,100,0,"plot7",139,-0.678778639410293,37.97725,-25.7781460835445,0.159192450301051,0.171435566475605,FALSE
