BIOL 406 - Lab Project,,,,,,,,,,,,,,
"Date: Day 1 Mar. 7; Day 2 Mar. 8
 ",,Time: Day 1 2:30-4:20pm; Day 2 1:20-5:00pm,Weather: Day 1 sun and cloud; Day 2 cloudy with periods of light rain,,"People: Day 1 all; Day 2 Rebecca, Elias, Sara",,,Units: height in cm; leaf area in cm2; canopy cover in %; slope and aspect in degrees,,,,species_comp,,
plot,salal_number,height ,leaf_area1,leaf_area2,leaf_area3,canopy_cover1,canopy_cover2,canopy_cover3,canopy_cover4,slope,aspect,% conif,% decid,notes
3,1,100,46.17,54.13,46.47,75.757,77.097,73.724,79.323,7,120SE,100,0,Day 1 start; 1/2 m wide
3,2,105,59.52,46.33,54.02,70.142,73.744,70.618,65.039,9,140SE,100,0,
3,3,100,37.73,35.37,35.77,68.736,65.887,70.477,58.446,2,314NW,100,0,Day 1 end
3,4,90,42.11,26.01,48.77,53.807,49.575,60.343,40.237,5,309NW,100,0,Day 1 start
3,5,90,55.6,43.8,28.56,45.467,45.829,49.302,55.977,4,343N,100,0,
14,1,70,63.93,49.78,54.21,67.826,66.356,56.744,61.543,9,64NE,100,0,
14,2,60,34,32.59,51.83,62.011,62.454,52.804,62.284,5,230SW,100,0,
14,3,90,77.26,45.57,72.28,79.17,83.154,78.487,80.031,12,70E,100,0,
14,4,90,60.48,42.26,36.36,53.334,48.307,50.651,54.212,,85E,100,0,on log
11,1,110,33.43,51.49,28.51,52.214,47.633,56.08,58.037,10,122SE,100,0,
11,2,110,38.84,47.75,58.57,52.159,54.299,44.567,46.027,17,8N,100,0,
11,3,80,31.34,28.24,68.07,56.924,57.275,59.652,61.739,8,0N,100,0,
11,4,120,53.69,57.59,45.58,50.859,53.535,54.148,51.36,8,83E,100,0,
1,1,116,29.85,31.35,46.55,57.392,52.328,53.197,56.874,6,255W,100,0,
1,2,125,60.68,43.56,36.64,51.815,51.435,51.85,50.579,6,69E,,,
1,3,115,53.82,39.63,40.72,41.451,45.983,49.576,53.875,6,204SW,88,12,
1,4,90,62.02,32.95,33.47,52.639,53.134,58.396,54.206,15,85E,75,25,
1,5,86,80.61,85.58,25.63,49.649,47.869,55.519,51.976,2,108E,95,5,Day 2 end
